turn,algorithm,hits,originDatabase,originAlgorithm,minTile,maxTile,minBoardValue,maxBoardValue,sumBoardValue,minBoardScore,maxBoardScore,sumBoardScore
45,treeDb_followMaxTile,26520,14083,12437,2,64,90,180,2738760,268,436,9664864
45,treeDb_followProgress,18999,7451,11548,2,64,90,180,1955132,268,440,6879552
45,treeDb_last,27336,11522,15814,2,64,90,180,2822904,268,436,9933552
46,all,140386,62157,78229,2,64,92,184,14793912,276,456,52499244
46,treeDb_first,26376,11017,15359,2,64,92,184,2781024,276,452,9859184
46,treeDb_firstlastmaxtile,25729,13317,12412,2,64,92,184,2714448,276,456,9657800
46,treeDb_firstlastprogress,18041,6864,11177,2,64,92,184,1896646,276,452,6711420
46,treeDb_followMaxTile,25712,13177,12535,2,64,92,184,2712200,276,456,9644436
46,treeDb_followProgress,18005,6768,11237,2,64,92,184,1891796,276,452,6702628
46,treeDb_last,26523,11014,15509,2,64,92,184,2797798,276,456,9923776
47,all,135427,58669,76758,2,64,94,188,14566318,280,460,51972972
47,treeDb_first,25715,10406,15309,2,64,94,188,2767366,280,456,9863696
47,treeDb_firstlastmaxtile,24994,12390,12604,2,64,94,188,2691652,280,460,9629796
47,treeDb_firstlastprogress,16991,6288,10703,2,64,94,188,1822866,280,456,6483900
47,treeDb_followMaxTile,24961,12661,12300,2,64,94,188,2687410,280,460,9609016
47,treeDb_followProgress,16949,6407,10542,2,64,94,188,1817364,280,456,6472296
47,treeDb_last,25817,10517,15300,2,64,94,188,2779660,280,460,9914268
48,all,130336,55218,75118,2,64,96,192,14300718,288,464,51254820
48,treeDb_first,25018,10046,14972,2,64,96,192,2746484,288,464,9834804
48,treeDb_firstlastmaxtile,24217,11844,12373,2,64,96,192,2660372,288,464,9557808
48,treeDb_firstlastprogress,15874,5713,10161,2,64,96,192,1736942,288,460,6208916
48,treeDb_followMaxTile,24237,11909,12328,2,64,96,192,2662136,288,464,9556440
48,treeDb_followProgress,15832,5729,10103,2,64,96,192,1731364,288,460,6196784
48,treeDb_last,25158,9977,15181,2,64,96,192,2763420,288,464,9900068
